name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Ice Airport Alaska,2020-10-26,Documentary,"Paramount+, Prime Video",,TV Show,,7.8/10,2,
Mike Epps: Under Rated & Never Faded,2009-11-10,"Comedy, Documentary","Prime Video, Prime Video",,Movie,,6.2/10,,"Marcus Raboy-director, Mike Epps-actor, Doug E. Fresh-actor, Mike Epps-author"
Star Trek III: The Search for Spock,1984-06-01,"Science-Fiction, Action & Adventure","Paramount+, Prime Video",America,Movie,7+ (PG),6.6/10,,"Leonard Nimoy-director, William Shatner-actor, DeForest Kelley-actor, Robin Curtis-actor, Merritt Butrick-actor, Christopher Lloyd-actor, James Doohan-actor, George Takei-actor, Walter Koenig-actor, Nichelle Nichols-actor, Mark Lenard-actor, James B. Sikking-actor, Phillip R. Allen-actor, Robert Hooks-actor, John Larroquette-actor, Judith Anderson-actor, Carl Steven-actor, Vadia Potenza-actor, Stephen Manley-actor, Joe W. Davis-actor, Miguel Ferrer-actor, Branscombe Richmond-actor, Harve Bennett-actor, Harve Bennett-author"
Memento Mori,1999-12-24,"Drama, Horror",Kanopy,South Korea,Movie,18+ (R),6.3/10,,"Kim Tae-yong-director, Min Kyu-dong-director, Park Ye-jin-actor, Rie Young-zin-actor, Kim Gyu-ri-actor, Gong Hyo-jin-actor, Kim Jae-in-actor, Baek Jong-hak-actor, Maeng Bong-Hak-actor, Jung Jin-Gak-actor, Han Min-actor, Chae Yoon-Seo-actor, Kim Kyeong-Jin-actor, Hye-mi Lee-actor, Shin Hye-Jung-actor, Seung-Yeon Han-actor, Lim Seong-eon-actor, Ku Hye-Ju-actor, Oh Min-ae-actor, Lee Choon-yeon-actor, Oh Ki-min-actor, Jung-Ok In-author, Kim Tae-yong-author, Min Kyu-dong-author"
The Gift of Acadia,,Documentary,"Free Services, Prime Video",,Movie,,,,
Andy Forrester: Most of this is Baby Fat,2019-01-01,,Prime Video ,,Movie,,,,
Tehran,2020-06-22,"Drama, Thriller",Apple TV+,Israel,TV Show,18+ (TV-MA),7.5/10,2,"Niv Sultan-actor, Shaun Toub-actor, Menashe Noy-actor, Shervin Alenabi-actor, Liraz Charhi-actor, Navid Negahban-actor, Fenia Cossovitsa-actor, Alon Aranya-actor, Dana Eden-actor, Dimitris Michalakis-actor, Julien Leroux-actor, Moshe Zonder-actor, Peter Emerson-actor, Shula Spiegel-actor, Dana Eden-actor, Maor Kohn-actor, Moshe Zonder-actor"
Family Pictures,2019-06-29,Drama,"Free Services, Prime Video",America,Movie,7+ (PG),6.2/10,,"Manu Boyer-director, Larissa Albuquerque-actor, Jackie Blackmore-actor, Justina Machado-actor, Elisabeth Röhm-actor, Courtney Richter-actor, Georgia Bradner-actor, Jason Burkart-actor, Chris Cope-actor, Kayla Deorksen-actor, Daniel Diemer-actor, Grayson Maxwell Gurnsey-actor, Matt Passmore-actor, James Pizzinato-actor, Bailee Reid-actor, Allison Riley-actor, Natalie Sharp-actor, Morgana Wyllie-actor, Jamie Goehring-actor, Rob Lycar-actor, Shawn Williamson-actor, David Fleming-actor, Jane Green-actor, Jocelyn Freid-actor"
Santa Clara,2019-12-25,Drama,Prime Video ,,Movie,,6.2/10,,
World's Most Evil Killers,2018-03-11,"Documentary, Crime",Free Services,,TV Show,,7.2/10,11,
Sweeney Todd: The Demon Barber of Fleet Street,2007-01-25,"Musical, Thriller","HBO MAX, Prime Video",United Kingdom,Movie,18+ (R),7.3/10,,"Tim Burton-director, Johnny Depp-actor, Helena Bonham Carter-actor, Alan Rickman-actor, Timothy Spall-actor, Sacha Baron Cohen-actor, Laura Michelle Kelly-actor, Jamie Campbell Bower-actor, Jayne Wisener-actor, Ed Sanders-actor, Buck Holland-actor, David McKail-actor, Colin Higgins-actor, Jess Murphy-actor, Harry Taylor-actor, Sophie Morris-Sheppard-actor, Anthony Stewart Head-actor, Ava May-actor, John Logan-actor, Laurie MacDonald-actor, Richard D. Zanuck-actor, Walter F. Parkes-actor, Patrick McCormick-actor, John Logan-author"
ESP & Psychic Spies,2008-01-01,,Prime Video ,,Movie,,,,
Kadosh,1999-01-01,"Romance, Drama","Free Services, Prime Video",France,Movie,,6.8/10,,"Amos Gitai-director, Yaël Abecassis-actor, Yoram Hattab-actor, Meital Barda-actor, Uri Ran Klauzner-actor, Amos Gitai-author, Eliette Abecassis-author"
Yourself and Yours,2016-11-10,"Drama, Comedy",Kanopy,South Korea,Movie,,6.8/10,,"Hong Sang-soo-director, Kim Joo-hyuk-actor, Lee Yoo-young-actor, Kim Eui-sung-actor, Kwon Hae-hyo-actor, Yu Jun-sang-actor, Baek Hyun-jin-actor, Gong Min-jeung-actor, Hong Sang-soo-actor, Hong Sang-soo-author"
Tanzania Transit,2018-05-03,"Animation, Documentary",Prime Video ,Netherlands,Movie,13+ (PG-13),8/10,,"Jeroen van Velzen-director, Josephs Quartzy-actor, Digna Sinke-actor, Esther Eenstroom-author, Jeroen van Velzen-author"
Love of Siam,2007-11-22,"Romance, Mystery",Prime Video ,Thailand,Movie,,7.7/10,,"Chookiat Sakveerakul-director, Witwisit Hiranyawongkul-actor, Mario Maurer-actor, Songsit Roongnophakunsri-actor, Pimpan Buranapim-actor, Chermarn Boonyasak-actor, Arthit Niyomkul-actor, Kanya Rattanapetch-actor, Aticha Pongsilpipat-actor, Pongnarin Ulice-actor, Jarunee Boonsake-actor, Nattapong Arunnate-actor, Taveesak Pehtpraneenukul-actor, Atirat Praseartburanakul-actor, Chirayu La-ongmani-actor, Sinjai Plengpanit-actor, Chookiat Sakveerakul-author"
Facing the Giants,2006-09-29,"Sport, Drama",Prime Video ,America,Movie,7+ (PG),6.4/10,,"Alex Kendrick-director, Alex Kendrick-actor, Shannen Fields-actor, Bill Butler-actor, Bailey Cave-actor, Steve Williams-actor, Tracy Goode-actor, Jim McBride-actor, Tommy McBride-actor, Jason McLeod-actor, Chris Willis-actor, Ray Wood-actor, Erin Bethea-actor, James Blackwell-actor, David Nixon-actor, Mark Richt-actor, Dan W. Howell Sr.-actor, Michael McLendon-actor, Kyle Scott-actor, Mary Smit-actor, Janet Lee Dapper-actor, Alex Kendrick-author, Stephen Kendrick-author"
Lightning Carson Rides Again,1938-10-09,Action & Adventure,Free Services,America,Movie,,6.5/10,,"Sam Newfield-director, Tim McCoy-actor, Joan Barclay-actor, Ted Adams-actor, Bob Terry-actor, Forrest Taylor-actor, Ben Corbett-actor, Slim Whitaker-actor, Frank Wayne-actor, Jane Keckley-actor, Karl Hackett-actor, Reed Howes-actor, Frank LaRue-actor, James Flavin-actor, Walt La Rue-actor, Dick Morehead-actor, James Sheridan-actor, Wally West-actor, Isadore Bernstein-author"
Nutcracker Fantasy,1979-03-03,"Animation, Family",Prime Video ,Japan,Movie,All (G),6.7/10,,"Takeo Nakamura-director, Melissa Gilbert-actor, Christopher Lee-actor, Roddy McDowall-actor, Michele Lee-actor, Lurene Tuttle-actor, Jack Angel-actor, Atsushi Tomioka-actor, Mark L. Rosen-actor, Walt deFaria-actor, Shintaro Tsuji-actor, Shintaro Tsuji-author"
The Real Bravo Two Zero,2013-01-01,,"Free Services, Prime Video",,Movie,,,,
Mars,2010-11-03,"Romance, Animation",Free Services,,Movie,,6/10,,"Geoff Marslett-director, Mark Duplass-actor, Zoe Simpson-actor, Paul Gordon-actor, Cynthia Watros-actor, James Kochalka-actor, Liza Weil-actor"
A Crafty Christmas Romance,2020-10-30,"Family, Romance","Hoopla, Prime Video",America,Movie,7+ (PG),5.4/10,,"Brian Brough-director, Nicola Posener-actor, Brad Johnson-actor, Anne Sward-actor, Ben Lokey-actor, Renny Grames-actor, Brittany Wiscombe-author"
Mongolian Ping Pong,2005-06-11,"Comedy, Drama",Fandor,China,Movie,,6.5/10,,"Ning Hao-director, Hurichabilike-actor, Dawa-actor, Geliban-actor, Yidexinnaribu-actor, Badema-actor, Wurima-actor, Dugema-actor, Jinlaowu-actor, Buhebilike-actor, Sarengaowa-actor, Bin Lu-actor, Bu He-actor, Ning Hao-author, Wuhe-actor"
Tickling Giants,2017-03-15,"Drama, Documentary","Free Services, Prime Video",Egypt,Movie,16+,8.2/10,,"Sara Taksler-director, Bassem Youssef-actor, Jon Stewart-actor, Frederic Rose-actor, Maziar Bahari-actor, Monica Hampton-actor, Sara Taksler-actor, Sara Taksler-author"
The Craft: Legacy,2020-10-28,"Fantasy, Drama","Starz, Prime Video",America,Movie,13+ (PG-13),4.4/10,,"Zoe Lister-Jones-director, Cailee Spaeny-actor, Lovie Simone-actor, Gideon Adlon-actor, Zoey Luna-actor, David Duchovny-actor, Michelle Monaghan-actor, Nicholas Galitzine-actor, Julian Grey-actor, Charles Vandervaart-actor, Donald MacLean Jr.-actor, Fairuza Balk-actor, Hannah Gordon-actor, Chris Tomassetti-actor, Kris Siddiqi-actor, James Madge-actor, Victor Chiu-actor, Devin Cecchetto-actor, Debbie Fan-actor, Heath V. Salazar-actor, Eddie Max Huband-actor, Travis Caverhill-actor, Douglas Wick-actor, Jason Blum-actor"
The Road To,2012-05-24,"Drama, Comedy",Prime Video ,Russia,Movie,,5.5/10,,"Taisia Igumentseva-director, Sergey Abroskin-actor, Anna Rud-actor, Sergey Podkolzin-actor, Vladimir Gorislavets-actor, Alexey Uchitel-actor, Alexandra Golovina-author, Taisia Igumentseva-author, Dmitry Komissarov-actor, Dmitry Lisitsa-actor, Timur Maximov-actor"
Fairy Tail: Phoenix Priestess,2012-08-18,"Drama, Anime",Free Services,Japan,Movie,13+ (PG-13),7/10,,"Masaya Fujimori-director, Aya Endo-actor, Rie Kugimiya-actor, Yuichi Nakamura-actor, Aya Hirano-actor, Satomi Sato-actor, Mika Kanai-actor, Tetsuya Kakihara-actor, Sayaka Ohara-actor, Showtaro Morikubo-actor, Yui Horie-actor, Eri Kitamura-actor, Nakahara Mai-actor, Wataru Hatano-actor, Ryoko Ono-actor, Miyuki Sawashiro-actor, Hiroki Touchi-actor, Mariya Ise-actor, Shinpachi Tsuji-actor, Katsuyuki Konishi-actor, Eiji Sekiguchi-actor, Harumi Sakurai-actor, Carly Hunter-actor, Justin Cook-actor"
Premachi Goshta,2013-02-01,"Drama, Romance",Prime Video ,India,Movie,,7.2/10,,"Satish Rajwade-director, Atul Kulkarni-actor, Sagarika Ghatge-actor, Rohini Hattangadi-actor, Satish Rajwade-actor, Sulekha Talwalkar-actor, Chinmay Kelkar-author"
The Thirteenth Floor,1999-04-16,"Science-Fiction, Thriller","HBO MAX, Prime Video",Germany,Movie,18+ (R),7/10,,"Josef Rusnak-director, Craig Bierko-actor, Armin Mueller-Stahl-actor, Gretchen Mol-actor, Vincent D'Onofrio-actor, Dennis Haysbert-actor, Steven Schub-actor, Jeremy Roberts-actor, Rif Hutton-actor, Leon Rippy-actor, Janet MacLachlan-actor, Brad William Henke-actor, Burt Bulos-actor, Venessia Valentino-actor, Howard S. Miller-actor, Tia Texada-actor, Shiri Appleby-actor, Bob Clendenin-actor, Rachel Winfree-actor, Meghan Ivey-actor, Alison Lohman-actor, Hadda Brooks-actor, Marco Weber-actor, Roland Emmerich-actor"
The Salt of the Earth,2014-09-27,"Biography, Documentary","Starz, Prime Video",Brazil,Movie,13+ (PG-13),8.4/10,,"Juliano Ribeiro Salgado-director, Wim Wenders-director, Sebastião Salgado-actor, Wim Wenders-actor, Juliano Ribeiro Salgado-actor, Hugo Barbier-actor, Lélia Wanick Salgado-actor, Jacques Barthélémy-actor, Régis Muller-actor, João Pessoa Mattos-actor, Leny Wanick Mattos-actor, Maria Teresa Salgado Rocha Bastos-actor, Rodrigo Ribeiro Salgado-actor, David Rosier-actor, Camille Delafon-author, David Rosier-author, Juliano Ribeiro Salgado-author, Wim Wenders-author"
Cherry (A Stephanie James Film),2018-05-05,Drama,Prime Video ,,Movie,,,,
Reprisal,2018-08-31,"Crime, Action & Adventure","Netflix, Prime Video",United Kingdom,Movie,18+ (R),4.2/10,,"Brian A. Miller-director, Frank Grillo-actor, Bruce Willis-actor, Johnathon Schaech-actor, Olivia Culpo-actor, Natali Yura-actor, Tyler Jon Olson-actor, Wass Stevens-actor, Colin Egglesfield-actor, Shea Buckner-actor, Christopher Rob Bowen-actor, Ken Strunk-actor, Tamara Belous-actor, Cameron Brexler-actor, Geoff Reeves-actor, John Dauer-actor, Nicolas Petron-actor, Uncle Murda-actor, Natalia Sophie Butler-actor, Jesse Pruett-actor, Rachele Richey-actor, Sergio Rizzuto-actor, George Furla-actor, Mark Stewart-actor"
This is Opera,2015-03-08,Documentary,Prime Video ,,TV Show,,8.6/10,2,Ramon Gener-actor
Patrick,2018-06-29,"Comedy, Drama","Hoopla, Prime Video",United Kingdom,Movie,16+,5.9/10,,"Mandie Fletcher-director, Beattie Edmondson-actor, Ed Skrein-actor, Tom Bennett-actor, Gemma Jones-actor, Emily Atack-actor, Jennifer Saunders-actor, Adrian Scarborough-actor, Bernard Cribbins-actor, Roy Hudd-actor, Peter Davison-actor, Cherie Lunghi-actor, Meera Syal-actor, Emilia Jones-actor, Patricia Potter-actor, Ben Roddy-actor, Rupert Holliday-Evans-actor, Milanka Brooks-actor, McKell David-actor, Scott Chambers-actor, Ali Barouti-actor, Denese Ricketts-actor, James Spring-actor, Paul de Vos-actor"
Dog Man,2015-10-17,"Animation, Documentary","Free Services, Prime Video",America,Movie,,8.5/10,,"Richie Adams-director, Dick Russell-actor, Richie Adams-actor"
Charlotte's Web,1973-03-01,"Drama, Animation","Prime Video, Prime Video",America,Movie,All (G),6.9/10,,"Charles A. Nichols-director, Iwao Takamoto-director, Debbie Reynolds-actor, Henry Gibson-actor, Danny Bonaduce-actor, Agnes Moorehead-actor, Bob Holt-actor, Paul Lynde-actor, Rex Allen-actor, Dave Madden-actor, Pamelyn Ferdin-actor, John Stephenson-actor, Martha Scott-actor, Joan Gerber-actor, Herb Vigran-actor, Don Messick-actor, William B. White-actor, Bill Lee-actor, Joseph Barbera-actor, William Hanna-actor, Edgar M. Bronfman-actor, Earl Hamner, Jr.-author, E.B. White-author"
